cod interno do cliente,Descrição,codigo fornecedores,Detalhe,Aplicação,Diam.Copinho,Diam.Rolamento,Face a Face Cruzeta
035.10.LN,CRUZETA DO CARDAN,801126,COM GRAXEIRO,,17.00mm,,45.40mm
035.10.STH,CRUZETA DO CARDAN,CZ205,COM GRAXEIRO,,17.00mm,,45.40mm
035.42.STH,JUNTA UNIVERSAL TRAMBULADOR DO CAMBIO,HJU850,,,17.00mm,,45.40mm
404.411.011,BOMBA MOT P/ INJ LIMP,404.411.011,,,,,
040.10.LN,CRUZETA DO TRAMBULADOR,801046,TRAMBULADOR MERCEDES,TRAMBULADOR MB,18.00mm,,55.00mm
040.10.SC,CRUZETA DO TRAMBULADOR,LC218,TRAMBULADOR MERCEDES,TRAMBULADOR MB 1620,18.00mm,,54.90mm
040.10.STH,CRUZETA DO TRAMBULADOR,CZ218,TRAMBULADOR MERCEDES,TRAMBULADOR MB 1620,18.00mm,,54.90mm
040.26.NSK,ROLAMENTO FIXO ESFERA,6208ZZ,INTERNO 40.00mm/EXTERNO 80.00mm/ESPESSURA 18.00mm,6208,,40.00mm,
040.42.LN,TRAMBULADOR DO CAMBIO,26.022,CAMBIO 1418,MB 1618/MB 1620,18.00mm,,55.00mm
045.26.A,ROLAMENTO FIXO ESFERA,6006 2NSE9C3,,HILUX,,30.00mm,
045.26.AB,ROLAMENTO,6006 LLUC3 NTN,,TRANSITI,,30.00mm,
045.26.B,ROLAMENTO,6006 DDUC3,,,,30.00mm,
045.26.DDU,ROLAMENTO FIXO ESFERA,6005,,COLUNA DIRECAO TRATOS,,32.00mm,
045.26.NSK,ROLAMENTO FIXO ESFERA,6210 DDUC3,INTERNO 50.00mm/EXTERNO 90.00mm/ESPESSURA 19.00mm,,,50.00mm,
4604,PORCA CAST. METR.BAIXA.MB 24,1911024,,,,,
05.027.27011M,RESERVATÓRIO D'ÁGUA LIM P/ BRISA COBALT,05.027.27011M,,,,,
05.153.28011R,PROTETOR P/ LAMA DT,05.153.28011R,,,,,
050.0430.T7E.LZ,CARDAN COMPLETO,,"CARDAN, ACRESCIDOS 2 TERMINAIS DE 20,2mmm E CHAVETA DE 6X3",ENCHEDORA DE GARRAFAS,,,
050.10.AEM,CRUZETA DO CARDAN,CC201/1,COM GRAXEIRO,TDP SERIE 500,19.00mm,,47.00mm
050.10.BR,CRUZETA DO CARDAN,CCBR201/1,COM GRAXEIRO,TDP SERIE 500,19.00mm,,47.00mm
050.10.CC,CRUZETA DO CARDAN,2953,COM GRAXEIRO,TDP SERIE 500,19.00mm,,47.00mm
050.10.ELB,CRUZETA DO CARDAN,0.106.010.001,,TDP SERIE 500,19.00mm,,47.00mm
050.10.LN,CRUZETA DO CARDAN,801104,COM GRAXEIRO,TDP SERIE 500,19.00mm,,47.00mm
050.10.LNG,CRUZETA DO CARDAN,801060,ITEM NAO COMERCIALIZADO PELA SPICER,TDP SERIE 500,19.00mm,,47.00mm
050.10.RCB,CRUZETA DO CARDAN,,,TDP SERIE 500,19.00mm,,47.00mm
050.10.SPI,CRUZETA DO CARDAN,5.12265X,ITEM NAO COMERCIALIZADO PELA SPICER,TDP SERIE 500,19.00mm,,47.00mm
050.10.STH,CRUZETA DO CARDAN,CZ204,COM GRAXEIRO,TDP SERIE 500,19.00mm,,47.00mm
501.000,CARDAN,132,DIVERSOS AGRICOLA,DIVERSOS,,,
050.10A.CC,CRUZETA DO CARDAN,2678,COM GRAXEIRO/TRAVA EXTERNA,TDP SERIE 500,19.00mm,,47.00mm
050.1250.T7E.LX,CARDAN COMPLETO,,"CARDAN, ACRESCIDOS 2 TERMINAIS 25,4 E CHAVETA DE 8X4",ENCHEDORA DE GARRAFAS,,,
050.28.SPI,BORRACHA SANFONA COLUNA DIREÇÃO,98.893X,KIT COM BRAÇAD/Ө INTERNO=46.00mm E Ө INTERNO=25.00mm,MB 1218 L,,,
050.33.PA,PARAFUSO FIXAR JUNTA 8.8 8x40,4100822,8.00X40.00mm/PASSO 1.25mm/CABECA OMEGA ESTRIADO,COLUNA DE DIREÇÃO,,,
050.33A.PA,PARAFUSO FIXAR JUNTA 8.8 8x38,104175,8X38mm/PASSO 1.25mm/CABECA OMEGA ESTRIADO,COLUNA DE DIREÇÃO,,,
050.33AB.PA,PARAFUSO FIXAR JUNTA 8x40,4160822,8.00X40.00mm/PASSO 1.25mm/CABECA OMEGA ESTRIADO,COLUNA DE DIREÇÃO,,,
050.33AC.PA,PARAFUSO FIXAR JUNTA 10 X 45,4161023,10X45 MM ACO MA,COLUNA DE DIREÇÃO,,,
050.33AD.PA,PARAFUSO FIXAR JUNTA 8x45,4160823,8.00X40.00mm/PASSO 1.25mm/CABECA OMEGA ESTRIADO,COLUNA DE DIREÇÃO,,,
050.33AE.PA,PARAFUSO FIXAR JUNTA 8x45,4160824,8.00X50.00mm,COLUNA DE DIREÇÃO,,,
050.33B.PA,PARAFUSO ALLEN SEM CABECA,6521624,1/4 X 1/2,TDP SERIE 1000 A 5000,,,
050.33C.PA,PARAFUSO ALLEN SEM CABECA,6521824,5/16 X 1/12,TDP SERIE 1000 A 5000,,,
050.33D.PA,PARAFUSO ALLEN SEM CABECA,6610610,6 X 10,TDP SERIE 1000 A 5000,,,
050.42.KIT,KIT ARTICULACAO AXIAL,,"ROSCA M28X1,5mmxm/M24x1,5mm",,,,
050.42.LN,JUNTA UNIVERSAL COLUNA DE DIRECAO,301035,JUNTA 30°/COMPRIMENTO 110.00mm/79 ESTRIASX36 ESTRIAS/COM LUBRIFICACAO/APLICA CRUZETA CZ204(STH),DIVERSAS COLUNAS FORD E VW,19.00mm,,47.00mm
050.42.MDR,ARTICULACAO AXIAL,P01582,"ROSCA M28X1,5mmxm/M24x1,5mm",JHON DREE J7500/6300,,,
050.42.RCB,JUNTA UNIVERSAL,,RECUPERADA,DIVERSAS COLUNAS FORD E VW,19.00mm,,47.00mm
050.42.STH,JUNTA UNIVERSAL,HJU807,JUNTA 30°/COMPRIMENTO 110.00mm/79 ESTRIASX36 ESTRIAS/COM LUBRIFICACAO/APLICA CRUZETA CZ204(STH),DIVERSAS COLUNAS FORD E VW,19.00mm,,47.00mm
050.42A.CC,JUNTA UNIVERSAL COLUNA DIRECAO,7516,JUNTA 30°/COMPRIMENTO 100.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS MB E VOLVO,19.00mm,,47.00mm
050.42A.LN,JUNTA UNIVERSAL COLUNA DIRECAO,46.051,JUNTA 30°/COMPRIMENTO 100.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS MB E VOLVO,19.00mm,,47.00mm
050.42A.MDR,ARTICULACAO AXIAL,P00854,"ROSCA M24X1,5mmxmM20x1,5mm",NEW HOL 5610/6610/7610/JD 5600,,,
050.42A.SPI,JUNTA UNIVERSAL COLUNA DIRECAO,04.12021.412X,JUNTA 30°/COMPRIMENTO 100.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS MB E VOLVO,19.00mm,,47.00mm
050.42A.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU816,JUNTA 30°/COMPRIMENTO 100.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS MB E VOLVO,19.00mm,,47.00mm
050.42B.LN,JUNTA UNIVERSAL COLUNA DIRECAO,28.110,JUNTA 30°/COMPRIMENTO 120.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS SCANIA,19.00mm,,47.00mm
050.42B.MDR,ARTICULACAO AXIAL,P00530,"ROSCA M24X1,5mmxmM22x1,5mm",JHON DREE 6300/7500,,,
050.42B.MIL,ARTICULACAO AXIAL,3176383M1,"ROSCA M24X1,5mmxmM22x1,5mm",JHON DREE 6300/7500/BT210,,,
050.42B.SPI,JUNTA UNIVERSAL COLUNA DIRECAO,04.12021.405X,JUNTA 30°/COMPRIMENTO 120.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS SCANIA,19.00mm,,47.00mm
050.42B.STH,JUNTA UNIVERSAL,HJU817,JUNTA 30°/COMPRIMENTO 120.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS SCANIA,19.00mm,,47.00mm
050.42B.STH.DIST,JUNTA UNIVERSAL,HJU817,JUNTA 30°/COMPRIMENTO 120.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS SCANIA,19.00mm,,47.00mm
050.42C.LN,JUNTA UNIVERSAL COLUNA DIRECAO,28.107,JUNTA 30°/COMPRIMENTO 494.00mm/FLANGE 4 FUROS + ROSCA Ө 24.00X1.50mm,DIVERSAS COLUNAS MB OF,19.00mm,,47.00mm
